Player,Player Link,Year,Age,Tm,Tm Link,Pos,No.,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds,NY/A,ANY/A,Sk%,4QC,GWD,AV
Derek Anderson,/players/A/AndeDe00.htm,2015,32,CAR,/teams/car/2015.htm,,3,3,0,,4,6,66.7,36,0,0.0,0,0.0,24,6.0,6.0,9.0,12.0,82.6,8.3,0,0,6.00,6.00,0.0,,,0
Derek Anderson,/players/A/AndeDe00.htm,2016,33,CAR,/teams/car/2016.htm,qb,3,5,2,0-2-0,36,53,67.9,453,2,3.8,5,9.4,48,8.5,5.1,12.6,90.6,67.6,14.9,0,0,8.55,5.06,0.0,,,1
Derek Anderson,/players/A/AndeDe00.htm,2017,34,CAR,/teams/car/2017.htm,,3,3,0,,2,8,25.0,17,0,0.0,0,0.0,9,2.1,2.1,8.5,5.7,39.6,0.2,0,0,2.13,2.13,0.0,,,0
Derek Anderson,/players/A/AndeDe00.htm,2018,35,BUF,/teams/buf/2018.htm,qb/wr,3,2,2,0-1-0,42,70,60.0,465,0,0.0,4,5.7,40,6.6,4.1,11.1,232.5,56.0,27.0,5,33,5.76,3.36,6.7,,,1
Jim Zorn,/players/Z/ZornJi00.htm,1976,23,SEA,/teams/sea/1976.htm,QB,10,14,14,2-12-0,208,439,47.4,2571,12,2.7,27,6.2,80,5.9,3.6,12.4,183.6,49.5,25,196,5.12,3.02,5.4,,,8
Jim Zorn,/players/Z/ZornJi00.htm,1977,24,SEA,/teams/sea/1977.htm,QB,10,10,10,4-6-0,104,251,41.4,1687,16,6.4,19,7.6,82,6.7,4.6,16.2,168.7,54.3,11,43,6.27,4.23,4.2,1,1,10
Jim Zorn,/players/Z/ZornJi00.htm,1978,25,SEA,/teams/sea/1978.htm,QB,10,16,16,9-7-0,248,443,56.0,3283,15,3.4,20,4.5,64,7.4,6.1,13.2,205.2,72.1,44,284,6.16,4.93,9.0,3,4,17
Jim Zorn,/players/Z/ZornJi00.htm,1979,26,SEA,/teams/sea/1979.htm,QB,10,16,16,9-7-0,285,505,56.4,3661,20,4.0,18,3.6,65,7.2,6.4,12.8,228.8,77.7,23,201,6.55,5.78,4.4,2,3,17
Jim Zorn,/players/Z/ZornJi00.htm,1980,27,SEA,/teams/sea/1980.htm,QB,10,16,16,4-12-0,276,488,56.6,3346,17,3.5,20,4.1,67,6.9,5.7,12.1,209.1,72.3,44,341,5.65,4.60,8.3,1,1,11
Jim Zorn,/players/Z/ZornJi00.htm,1981,28,SEA,/teams/sea/1981.htm,QB,10,13,13,4-9-0,236,397,59.4,2788,13,3.3,9,2.3,80,7.0,6.7,11.8,214.5,82.4,24,201,6.14,5.80,5.7,1,1,11
Jim Zorn,/players/Z/ZornJi00.htm,1982,29,SEA,/teams/sea/1982.htm,QB,10,9,7,4-3-0,126,245,51.4,1540,7,2.9,11,4.5,50,6.3,4.8,12.2,171.1,61.9,20,152,5.24,3.90,7.5,1,1,7
Jim Zorn,/players/Z/ZornJi00.htm,1983,30,SEA,/teams/sea/1983.htm,qb,10,16,8,4-4-0,103,205,50.2,1166,7,3.4,7,3.4,43,5.7,4.8,11.3,72.9,64.8,9,64,5.15,4.33,4.2,,,4
Jim Zorn,/players/Z/ZornJi00.htm,1984,31,SEA,/teams/sea/1984.htm,,10,16,0,,7,17,41.2,80,0,0.0,2,11.8,21,4.7,-0.6,11.4,5.0,16.4,1,8,4.00,-1.00,5.6,,,0
Jim Zorn,/players/Z/ZornJi00.htm,1985,32,GNB,/teams/gnb/1985.htm,qb,18,13,5,3-2-0,56,123,45.5,794,4,3.3,6,4.9,56,6.5,4.9,14.2,61.1,57.4,11,89,5.26,3.84,8.2,0,1,2
Jim Zorn,/players/Z/ZornJi00.htm,1987,34,TAM,/teams/tam/1987.htm,qb,10,1,1,1-0-0,20,36,55.6,199,0,0.0,2,5.6,26,5.5,3.0,10.0,199.0,48.3,1,6,5.22,2.78,2.7,,,1
